------------------------------------------------------------------------------------
Date: 7/31/2025 -- 16:13:31 (uptime: 0d, 00h 01m 23s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 39427
decoder.bytes                                 | Total                     | 26128819
decoder.ipv4                                  | Total                     | 39087
decoder.ethernet                              | Total                     | 39427
decoder.tcp                                   | Total                     | 36749
decoder.udp                                   | Total                     | 2318
decoder.icmpv4                                | Total                     | 20
decoder.avg_pkt_size                          | Total                     | 662
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 421
flow.udp                                      | Total                     | 404
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted_needs_work             | Total                     | 306
flow.wrk.flows_evicted_pkt_inject             | Total                     | 337
flow.wrk.flows_evicted                        | Total                     | 60
flow.wrk.flows_injected                       | Total                     | 306
tcp.sessions                                  | Total                     | 419
tcp.syn                                       | Total                     | 419
tcp.synack                                    | Total                     | 423
tcp.rst                                       | Total                     | 423
tcp.stream_depth_reached                      | Total                     | 6
tcp.overlap                                   | Total                     | 5
detect.alert                                  | Total                     | 20
app_layer.flow.http                           | Total                     | 19
app_layer.tx.http                             | Total                     | 627
app_layer.flow.tls                            | Total                     | 231
app_layer.flow.smb                            | Total                     | 6
app_layer.tx.smb                              | Total                     | 110
app_layer.flow.dcerpc_tcp                     | Total                     | 58
app_layer.tx.dcerpc_tcp                       | Total                     | 296
app_layer.flow.ntp                            | Total                     | 28
app_layer.tx.ntp                              | Total                     | 28
app_layer.flow.krb5_tcp                       | Total                     | 25
app_layer.tx.krb5_tcp                         | Total                     | 25
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 59
app_layer.flow.dns_udp                        | Total                     | 295
app_layer.tx.dns_udp                          | Total                     | 1510
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 4
flow.mgr.flows_notimeout                      | Total                     | 4
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 393216
flow.memuse                                   | Total                     | 7394304
